Identifier,Label,Description,Parent URI,Human Readable Definition URI
all,All,,,
0,0,,#all,
1,1,,#all,
2,2,,#all,
3,3,,#all,
4,4,,#all,
5,5,,#all,
6,6,,#all,
7,7,,#all,
8,8,,#all,
9,9,,#all,
10,10,,#all,
11,11,,#all,
12,12,,#all,
13,13,,#all,
14,14,,#all,
15,15,,#all,
16,16,,#all,
17,17,,#all,
18,18,,#all,
19,19,,#all,
20,20,,#all,
21,21,,#all,
22,22,,#all,
23,23,,#all,
24,24,,#all,
25,25,,#all,
26,26,,#all,
27,27,,#all,
28,28,,#all,
29,29,,#all,
30,30,,#all,
31,31,,#all,
32,32,,#all,
33,33,,#all,
34,34,,#all,
35,35,,#all,
36,36,,#all,
37,37,,#all,
38,38,,#all,
39,39,,#all,
40,40,,#all,
41,41,,#all,
42,42,,#all,
43,43,,#all,
44,44,,#all,
45,45,,#all,
46,46,,#all,
47,47,,#all,
48,48,,#all,
49,49,,#all,
50,50,,#all,
51,51,,#all,
52,52,,#all,
53,53,,#all,
54,54,,#all,
55,55,,#all,
56,56,,#all,
57,57,,#all,
58,58,,#all,
59,59,,#all,
60,60,,#all,
61,61,,#all,
62,62,,#all,
63,63,,#all,
64,64,,#all,
65,65,,#all,
66,66,,#all,
67,67,,#all,
68,68,,#all,
69,69,,#all,
70,70,,#all,
71,71,,#all,
72,72,,#all,
73,73,,#all,
74,74,,#all,
75,75,,#all,
76,76,,#all,
77,77,,#all,
78,78,,#all,
79,79,,#all,
80,80,,#all,
81,81,,#all,
82,82,,#all,
83,83,,#all,
84,84,,#all,
85,85,,#all,
86,86,,#all,
87,87,,#all,
88,88,,#all,
89,89,,#all,
90,90,,#all,
91,91,,#all,
92,92,,#all,
93,93,,#all,
94,94,,#all,
95,95,,#all,
96,96,,#all,
97,97,,#all,
98,98,,#all,
99,99,,#all,
